Event,Dive Number,Height,Name,Net Score,DD,Score,Round Place
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405C	,3M	,Inward  2 1/2 Somersault Tuck	,2.70	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),107C	,3M	,Forward  3 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205B	,3M	,Back  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305C	,3M	,Reverse  2 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405B	,3M	,Inward  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),107B	,3M	,Forward  3 1/2 Somersault Pike	,3.10	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305B	,3M	,Reverse  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205B	,3M	,Back  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405B	,3M	,Inward  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),107B	,3M	,Forward  3 1/2 Somersault Pike	,3.10	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205B	,3M	,Back  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305B	,3M	,Reverse  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405B	,3M	,Inward  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),107B	,3M	,Forward  3 1/2 Somersault Pike	,3.10	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305B	,3M	,Reverse  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205B	,3M	,Back  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405C	,3M	,Inward  2 1/2 Somersault Tuck	,2.70	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),107C	,3M	,Forward  3 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205C	,3M	,Back  2 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305C	,3M	,Reverse  2 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405C	,3M	,Inward  2 1/2 Somersault Tuck	,2.70	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),107C	,3M	,Forward  3 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205B	,3M	,Back  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305B	,3M	,Reverse  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405B	,3M	,Inward  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205C	,3M	,Back  2 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305C	,3M	,Reverse  2 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),107C	,3M	,Forward  3 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405C	,3M	,Inward  2 1/2 Somersault Tuck	,2.70	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),107C	,3M	,Forward  3 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205B	,3M	,Back  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305C	,3M	,Reverse  2 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),107C	,3M	,Forward  3 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305C	,3M	,Reverse  2 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205C	,3M	,Back  2 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405C	,3M	,Inward  2 1/2 Somersault Tuck	,2.70	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405C	,3M	,Inward  2 1/2 Somersault Tuck	,2.70	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205B	,3M	,Back  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305B	,3M	,Reverse  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),107C	,3M	,Forward  3 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405C	,3M	,Inward  2 1/2 Somersault Tuck	,2.70	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),107B	,3M	,Forward  3 1/2 Somersault Pike	,3.10	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305B	,3M	,Reverse  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205B	,3M	,Back  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405C	,3M	,Inward  2 1/2 Somersault Tuck	,2.70	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),107C	,3M	,Forward  3 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205C	,3M	,Back  2 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305C	,3M	,Reverse  2 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405B	,3M	,Inward  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),107B	,3M	,Forward  3 1/2 Somersault Pike	,3.10	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205B	,3M	,Back  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305B	,3M	,Reverse  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205B	,3M	,Back  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305B	,3M	,Reverse  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),107B	,3M	,Forward  3 1/2 Somersault Pike	,3.10	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405B	,3M	,Inward  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405C	,3M	,Inward  2 1/2 Somersault Tuck	,2.70	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),107C	,3M	,Forward  3 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205C	,3M	,Back  2 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305C	,3M	,Reverse  2 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405B	,3M	,Inward  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),107B	,3M	,Forward  3 1/2 Somersault Pike	,3.10	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205C	,3M	,Back  2 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305C	,3M	,Reverse  2 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),105B	,3M	,Forward  2 1/2 Somersault Pike	,2.40	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205C	,3M	,Back  2 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305C	,3M	,Reverse  2 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405C	,3M	,Inward  2 1/2 Somersault Tuck	,2.70	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5136D	,3M	,Forward 1 1/2 Somersault 3 Twist Free	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),105B	,3M	,Forward  2 1/2 Somersault Pike	,2.40	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205C	,3M	,Back  2 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305C	,3M	,Reverse  2 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405C	,3M	,Inward  2 1/2 Somersault Tuck	,2.70	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405B	,3M	,Inward  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),107C	,3M	,Forward  3 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205C	,3M	,Back  2 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305C	,3M	,Reverse  2 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405B	,3M	,Inward  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205B	,3M	,Back  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305B	,3M	,Reverse  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),107B	,3M	,Forward  3 1/2 Somersault Pike	,3.10	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405B	,3M	,Inward  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),107B	,3M	,Forward  3 1/2 Somersault Pike	,3.10	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205B	,3M	,Back  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305B	,3M	,Reverse  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5154B	,3M	,Forward 2 1/2 Somersault 2 Twist Pike	,3.40	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205B	,3M	,Back  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),107B	,3M	,Forward  3 1/2 Somersault Pike	,3.10	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305B	,3M	,Reverse  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405B	,3M	,Inward  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405C	,3M	,Inward  2 1/2 Somersault Tuck	,2.70	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),107C	,3M	,Forward  3 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205C	,3M	,Back  2 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305C	,3M	,Reverse  2 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5235D	,3M	,Back 1 1/2 Somersault 2 1/2 Twist Free	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405B	,3M	,Inward  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),107B	,3M	,Forward  3 1/2 Somersault Pike	,3.10	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),205B	,3M	,Back  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305B	,3M	,Reverse  2 1/2 Somersault Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),		,		,		,		,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),405C	,3M	,Inward  2 1/2 Somersault Tuck	,2.70	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),107C	,3M	,Forward  3 1/2 Somersault Tuck	,2.80	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,3.00	,,,
  Senior Women 3m Springboard - (Prelim/Quarterfinal),305C	,3M	,Reverse  2 1/2 Somersault Tuck	,2.80	,,,
